fiyat;marka;seri;model;yil;km;vites;yakit;kasa;renk;motorHacmi;motorGucu;cekis;yakitTuketimi;yakitDeposu;boyaDegisen;takas;kimden
545.000 TL;Renault;Clio;1.5 dCi Joy;2018;208.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;3 boyalı;Takasa Uygun Değil;Galeriden
450.000 TL;Renault;Clio;1.4 Extreme;2008;169.000 km;Düz;Benzin;Sedan;Bej;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
705.000 TL;Renault;Clio;1.5 dCi Touch;2017;99.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
499.000 TL;Renault;Clio;1.2 Joy;2013;117.000 km;Düz;Benzin;Hatchback/5;Bordo;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;7 boyalı;Takasa Uygun Değil;Sahibinden
343.500 TL;Renault;Clio;1.4 Authentique;2003;268.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;2 değişen, 3 boyalı;Takasa Uygun;Galeriden
561.900 TL;Renault;Clio;1.5 dCi Joy;2016;95.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
325.000 TL;Renault;Clio;-;2002;252.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1390 cc;98 hp;Önden Çekiş;7 lt;50 lt;Tamamı boyalı;Takasa Uygun Değil;Galeriden
720.000 TL;Renault;Clio;1.5 BlueDCI Joy;2020;51.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;85 hp;Önden Çekiş;3,6 lt;39 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
755.000 TL;Renault;Clio;1.5 dCi Touch;2017;38.500 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Belirtilmemiş;-;Sahibinden
286.500 TL;Renault;Clio;1.4 RNA;2001;247.000 km;Düz;LPG & Benzin;Sedan;Lacivert;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 değişen, 5 boyalı;-;Sahibinden
310.000 TL;Renault;Clio;1.5 dCi Alize;2005;328.000 km;Düz;Dizel;Sedan;Bordo;1461 cc;65 hp;Önden Çekiş;4,7 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
390.000 TL;Renault;Clio;1.4 Authentique;2004;157.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 değişen;Takasa Uygun Değil;Sahibinden
380.000 TL;Renault;Clio;1.2 Authentique;2006;148.000 km;Düz;LPG & Benzin;Hatchback/5;Yeşil;1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;3 değişen, 3 boyalı;-;Sahibinden
325.000 TL;Renault;Clio;1.5 dCi Authentique;2006;281.000 km;Düz;Dizel;Hatchback/5;Siyah;1461 cc;65 hp;Önden Çekiş;4,9 lt;55 lt;Tamamı boyalı;-;Sahibinden
330.000 TL;Renault;Clio;1.4 Expression;2002;175.000 km;Düz;LPG & Benzin;Sedan;Mavi;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;Tamamı boyalı;Takasa Uygun;Sahibinden
589.500 TL;Renault;Clio;1.5 dCi Joy;2018;180.100 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;1 değişen, 2 boyalı;-;Sahibinden
520.000 TL;Renault;Clio;1.5 dCi Joy;2016;222.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;4 boyalı;Takasa Uygun Değil;Sahibinden
520.000 TL;Renault;Clio;1.2 Joy;2016;118.000 km;Düz;Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;1 değişen, 2 boyalı;-;Sahibinden
627.500 TL;Renault;Clio;1.0 SCe Joy;2020;19.000 km;Düz;Benzin;Hatchback/5;Füme;999 cc;72 hp;Önden Çekiş;4,9 lt;42 lt;Tamamı orjinal;-;Sahibinden
350.000 TL;Renault;Clio;1.2 Authentique;2004;238.000 km;Düz;Benzin;Hatchback/5;Kırmızı;-;-;-;-;-;Belirtilmemiş;-;Sahibinden
310.000 TL;Renault;Clio;1.4 RXT;2001;235.000 km;Düz;LPG & Benzin;Hatchback/5;Mavi;1390 cc;98 hp;Önden Çekiş;6,7 lt;50 lt;8 boyalı;-;Sahibinden
340.000 TL;Renault;Clio;1.2 Authentique;2005;223.500 km;Düz;Benzin;Hatchback/5;Gri (metalik);1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;5 boyalı;Takasa Uygun;Sahibinden
365.000 TL;Renault;Clio;1.5 dCi Authentique;2006;250.000 km;Düz;Dizel;Hatchback/5;Gri;1461 cc;65 hp;Önden Çekiş;4,9 lt;55 lt;Belirtilmemiş;-;Sahibinden
310.000 TL;Renault;Clio;1.5 dCi Authentique;2005;285.000 km;Düz;Dizel;Hatchback/3;Gri;1461 cc;68 hp;Önden Çekiş;4,6 lt;55 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
545.000 TL;Renault;Clio;1.5 dCi SportTourer Joy;2013;219.500 km;Düz;Dizel;Station wagon;Beyaz;1461 cc;75 hp;Önden Çekiş;4 lt;45 lt;8 boyalı;Takasa Uygun Değil;Sahibinden
269.000 TL;Renault;Clio;1.6 RXT;2000;250.000 km;Düz;LPG & Benzin;Hatchback/5;Mavi (metalik);1598 cc;90 hp;Önden Çekiş;7,2 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
650.000 TL;Renault;Clio;1.5 dCi Icon;2014;127.200 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
565.000 TL;Renault;Clio;1.2 Joy;2015;119.000 km;Düz;Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
550.000 TL;Renault;Clio;1.5 dCi SportTourer Joy;2014;205.000 km;Düz;Dizel;Station wagon;Kırmızı;1461 cc;75 hp;Önden Çekiş;4 lt;45 lt;Belirtilmemiş;-;Sahibinden
589.500 TL;Renault;Clio;1.5 dCi Joy;2016;91.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
880.000 TL;Renault;Clio;1.0 TCe Joy;2023;9.000 km;Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun;Sahibinden
299.000 TL;Renault;Clio;1.4 RTA;2000;256.000 km;Düz;LPG & Benzin;Hatchback/5;Gri (Gümüş);1390 cc;75 hp;Önden Çekiş;6,8 lt;50 lt;2 boyalı;-;Sahibinden
549.000 TL;Renault;Clio;1.5 dCi Icon;2016;160.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;3 değişen, 5 boyalı;Takasa Uygun Değil;Galeriden
825.000 TL;Renault;Clio;1.3 TCe Touch;2020;12.300 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;1332 cc;130 hp;Önden Çekiş;5,2 lt;42 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
390.000 TL;Renault;Clio;1.5 dCi Extreme;2008;222.000 km;Düz;Dizel;Hatchback/5;Füme;1461 cc;65 hp;Önden Çekiş;4,9 lt;55 lt;1 değişen, 8 boyalı;-;Sahibinden
580.000 TL;Renault;Clio;1.2 Joy;2014;88.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Tamamı orjinal;-;Sahibinden
730.000 TL;Renault;Clio;1.5 dCi Icon;2017;116.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
315.000 TL;Renault;Clio;1.4 Authentique;2005;240.000 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;Belirtilmemiş;-;Sahibinden
300.000 TL;Renault;Clio;1.4 RTA;2001;293.000 km;Düz;LPG & Benzin;Hatchback/5;Siyah;1390 cc;75 hp;Önden Çekiş;6,8 lt;50 lt;Belirtilmemiş;-;Sahibinden
330.000 TL;Renault;Clio;1.2 Authentique;2010;127.300 km;Düz;Benzin;Hatchback/5;Gri;1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;1 değişen, 10 boyalı;Takasa Uygun Değil;Sahibinden
305.000 TL;Renault;Clio;1.5 dCi Expression;2002;205.000 km;Düz;Dizel;Sedan;Yeşil (metalik);1461 cc;65 hp;Önden Çekiş;4,7 lt;50 lt;1 değişen, 12 boyalı;-;Sahibinden
295.000 TL;Renault;Clio;1.4 RTA;1999;330.000 km;Düz;LPG & Benzin;Hatchback/5;Turuncu;1390 cc;75 hp;Önden Çekiş;6,8 lt;50 lt;Tamamı boyalı;Takasa Uygun;Sahibinden
565.000 TL;Renault;Clio;1.5 dCi Icon;2012;144.500 km;Düz;Dizel;Hatchback/5;Mavi;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
360.000 TL;Renault;Clio;1.5 dCi Authentique;2004;184.000 km;Düz;Dizel;Sedan;Gri;1461 cc;65 hp;Önden Çekiş;4,7 lt;50 lt;Belirtilmemiş;-;Sahibinden
565.000 TL;Renault;Clio;1.5 dCi Icon;2016;130.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;2 boyalı;Takasa Uygun;Sahibinden
580.000 TL;Renault;Clio;1.5 dCi Touch;2014;186.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;1 değişen, 5 boyalı;Takasa Uygun Değil;Sahibinden
275.000 TL;Renault;Clio;1.4 RTA;1998;250.000 km;Otomatik;LPG & Benzin;Hatchback/5;Füme;1401 - 1600 cm3;76 - 100 HP;Önden Çekiş;-;-;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
315.000 TL;Renault;Clio;1.5 dCi Authentique;2005;195.000 km;Düz;Dizel;Hatchback/5;Gri;1461 cc;65 hp;Önden Çekiş;4,9 lt;55 lt;Belirtilmemiş;-;Sahibinden
860.000 TL;Renault;Clio;1.3 TCe Touch;2020;40.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1332 cc;130 hp;Önden Çekiş;5,2 lt;42 lt;Tamamı orjinal;-;Sahibinden
720.000 TL;Renault;Clio;1.0 TCe Touch;2020;44.704 km;Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;100 hp;Önden Çekiş;5 lt;42 lt;2 boyalı;Takasa Uygun Değil;Sahibinden
380.000 TL;Renault;Clio;1.4 RNA;2001;195.000 km;Düz;Benzin;Sedan;Kırmızı;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 boyalı;-;Sahibinden
615.000 TL;Renault;Clio;1.5 dCi Touch;2018;180.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;3 boyalı;Takasa Uygun;Sahibinden
660.000 TL;Renault;Clio;0.9 TCe Joy;2020;40.000 km;Düz;Benzin;Hatchback/5;Füme;898 cc;90 hp;Önden Çekiş;5 lt;45 lt;Tamamı orjinal;-;Sahibinden
740.000 TL;Renault;Clio;1.0 TCe Joy;2021;67.000 km;Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;4 boyalı;Takasa Uygun;Galeriden
788.000 TL;Renault;Clio;1.5 dCi Touch;2018;122.000 km;Yarı Otomatik;Dizel;Hatchback/5;Bordo;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;1 boyalı;Takasa Uygun;Galeriden
725.000 TL;Renault;Clio;1.5 dCi Icon;2017;176.000 km;Yarı Otomatik;Dizel;Hatchback/5;Gri (metalik);1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;3 boyalı;Takasa Uygun;Galeriden
575.000 TL;Renault;Clio;1.5 dCi Touch;2015;178.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
759.900 TL;Renault;Clio;1.5 dCi GT Line;2017;55.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1461 cc;90 hp;Önden Çekiş;3,6 lt;45 lt;2 değişen, 1 boyalı;Takasa Uygun;Galeriden
479.000 TL;Renault;Clio;1.2 Grandtour Extreme;2010;65.000 km;Düz;Benzin;Station wagon;Kahverengi;1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;4 boyalı;Takasa Uygun;Galeriden
314.000 TL;Renault;Clio;1.6 RXT;2000;260.000 km;Düz;LPG & Benzin;Hatchback/5;Mavi;1598 cc;90 hp;Önden Çekiş;7,2 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
810.000 TL;Renault;Clio;1.0 TCe Joy;2022;26.117 km;Otomatik;Benzin;Hatchback/5;Mavi;999 cc;100 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
305.000 TL;Renault;Clio;1.4 Authentique;2005;265.000 km;Düz;LPG & Benzin;Sedan;Gri;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;3 değişen;Takasa Uygun;Sahibinden
610.000 TL;Renault;Clio;1.2 Joy;2016;111.000 km;Düz;Benzin;Hatchback/5;Kırmızı;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
540.000 TL;Renault;Clio;1.5 dCi Joy;2015;200.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
389.000 TL;Renault;Clio;1.4 Expression;2004;114.000 km;Düz;Benzin;Sedan;Gri;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 boyalı;Takasa Uygun Değil;Galeriden
469.750 TL;Renault;Clio;1.5 dCi Authentique;2011;152.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1461 cc;65 hp;Önden Çekiş;4,5 lt;55 lt;Tamamı orjinal;Takasa Uygun;Galeriden
670.000 TL;Renault;Clio;1.5 dCi Touch;2014;213.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;1 değişen, 2 boyalı;Takasa Uygun Değil;Galeriden
770.000 TL;Renault;Clio;1.0 TCe Joy;2022;6.000 km;Otomatik;Benzin;Hatchback/5;Mavi (metalik);999 cc;90 hp;Önden Çekiş;5 lt;42 lt;1 değişen, 1 boyalı;Takasa Uygun;Galeriden
265.000 TL;Renault;Clio;1.5 dCi Expression;2003;440.000 km;Düz;Dizel;Sedan;Beyaz;1461 cc;65 hp;Önden Çekiş;4,7 lt;50 lt;Belirtilmemiş;Takasa Uygun;Sahibinden
849.500 TL;Renault;Clio;1.0 TCe Touch;2022;42.000 km;Otomatik;Benzin;Hatchback/5;Turuncu;999 cc;100 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun;Galeriden
318.500 TL;Renault;Clio;1.4 Authentique;2002;283.000 km;Düz;LPG & Benzin;Sedan;Mavi (metalik);1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
650.000 TL;Renault;Clio;1.0 SCe Joy;2020;43.000 km;Düz;Benzin;Hatchback/5;Gri (titanyum);999 cc;72 hp;Önden Çekiş;4,9 lt;42 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
635.000 TL;Renault;Clio;1.5 dCi Joy;2016;131.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;Takasa Uygun;Sahibinden
335.000 TL;Renault;Clio;1.2 Authentique;2004;240.000 km;Düz;LPG & Benzin;Hatchback/3;Yeşil (metalik);1149 cc;75 hp;Önden Çekiş;5,9 lt;50 lt;3 boyalı;Takasa Uygun;Galeriden
640.000 TL;Renault;Clio;1.2 Icon;2016;55.310 km;Düz;Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;1 boyalı;Takasa Uygun Değil;Sahibinden
705.000 TL;Renault;Clio;1.5 dCi Touch;2018;114.500 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
688.500 TL;Renault;Clio;1.5 dCi SportTourer Joy;2019;144.500 km;Düz;Dizel;Station wagon;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;Takasa Uygun;Galeriden
718.750 TL;Renault;Clio;1.3 TCe Touch;2020;81.000 km;Yarı Otomatik;Benzin;Hatchback/5;Lacivert;1332 cc;130 hp;Önden Çekiş;5,2 lt;42 lt;1 değişen, 6 boyalı;Takasa Uygun Değil;Galeriden
420.000 TL;Renault;Clio;1.5 dCi Authentique Edition;2012;182.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1461 cc;75 hp;Önden Çekiş;4,4 lt;55 lt;Belirtilmemiş;-;Sahibinden
425.000 TL;Renault;Clio;1.5 dCi Joy;2013;273.000 km;Düz;Dizel;Hatchback/5;Beyaz;1461 cc;75 hp;Önden Çekiş;3,6 lt;45 lt;Belirtilmemiş;-;Sahibinden
445.000 TL;Renault;Clio;1.5 dCi Grandtour Extreme;2011;214.000 km;Düz;Dizel;Station wagon;Gri (Gümüş);1461 cc;85 hp;Önden Çekiş;4,4 lt;55 lt;2 boyalı;Takasa Uygun Değil;Sahibinden
844.500 TL;Renault;Clio;1.0 TCe Touch;2022;18.000 km;Otomatik;Benzin;Hatchback/5;Mavi (metalik);999 cc;90 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
290.000 TL;Renault;Clio;1.4 RNA;2000;199.000 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 değişen, 2 boyalı;Takasa Uygun;Sahibinden
555.000 TL;Renault;Clio;1.2 Turbo Icon;2015;89.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1197 cc;120 hp;Önden Çekiş;5,2 lt;45 lt;Tamamı orjinal;Takasa Uygun;Galeriden
610.000 TL;Renault;Clio;1.5 dCi Icon;2017;178.500 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;1 değişen, 8 boyalı;Takasa Uygun;Galeriden
820.000 TL;Renault;Clio;1.0 TCe Joy;2022;6.500 km;Otomatik;Benzin;Hatchback/5;Füme;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
850.000 TL;Renault;Clio;1.5 dCi Icon;2017;51.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1461 cc;90 hp;Önden Çekiş;3,7 lt;45 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
610.000 TL;Renault;Clio;0.9 TCe Icon;2013;23.500 km;Düz;Benzin;Hatchback/5;Mavi (metalik);898 cc;90 hp;Önden Çekiş;4,5 lt;45 lt;1 değişen;Takasa Uygun Değil;Sahibinden
369.500 TL;Renault;Clio;1.2 Authentique;2007;265.000 km;Düz;Benzin;Hatchback/5;Mavi (metalik);1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;Belirtilmemiş;Takasa Uygun;Galeriden
850.000 TL;Renault;Clio;1.0 TCe Joy;2022;43.500 km;Otomatik;Benzin;Hatchback/5;Kırmızı;999 cc;90 hp;Önden Çekiş;5 lt;42 lt;3 boyalı;Takasa Uygun;Sahibinden
350.000 TL;Renault;Clio;1.6 RT;2000;310 km;Düz;LPG & Benzin;Sedan;Beyaz;-;-;-;-;-;1 boyalı;-;Sahibinden
300.000 TL;Renault;Clio;1.4 RNA;2001;309.000 km;Düz;LPG & Benzin;Sedan;Mavi;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;12 boyalı;Takasa Uygun Değil;Sahibinden
360.000 TL;Renault;Clio;1.2 Authentique;2005;245.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,9 lt;55 lt;3 boyalı;-;Sahibinden
580.000 TL;Renault;Clio;1.2 Joy;2013;74.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1149 cc;75 hp;Önden Çekiş;5,5 lt;45 lt;Tamamı orjinal;-;Sahibinden
350.000 TL;Renault;Clio;1.4 Authentique;2005;260.000 km;Düz;LPG & Benzin;Hatchback/3;Beyaz;1390 cc;98 hp;Önden Çekiş;6,6 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
250.000 TL;Renault;Clio;1.6 RXT;2000;221.170 km;Düz;Benzin;Hatchback/3;Gri;1598 cc;90 hp;Önden Çekiş;7,2 lt;50 lt;3 değişen, 9 boyalı;-;Sahibinden
305.000 TL;Renault;Clio;1.4 RNA;2000;285.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1390 cc;75 hp;Önden Çekiş;7,1 lt;50 lt;1 değişen, 6 boyalı;-;Sahibinden
690.000 TL;Renault;Clio;0.9 TCe Icon;2014;55.000 km;Düz;Benzin;Hatchback/5;Kırmızı;898 cc;90 hp;Önden Çekiş;4,5 lt;45 lt;Tamamı orjinal;-;Sahibinden
